latitude,longitude,timestamp,ir_band_1,ir_band_2,ir_band_3,temperature,vegetation_index,wind_speed,wind_direction,humidity,elevation,slope,land_use,distance_to_urban,cloud_cover,fire_detected
-22.58277861,162.2571503,09-09-2022 19:05,36.09993861,93.8552709,0.116814876,795.3269356,0.463987884,11.97316968,56.16671056,15.59945203,232.3344487,77.95585312,agriculture,7143.340896,65.08884729,0
21.14667173,40.19513778,25-07-2022 03:51,42.99702034,68.03075386,67.5748878,207.9589767,-0.98586739,0.461248501,188.9188777,39.98609717,186.6626529,87.6379967,urban,19123.09956,98.32308858,0
79.59631602,22.78375842,06-12-2022 00:47,15.5855538,52.00680212,82.0065419,310.9126733,-0.229166995,0.319325044,83.12177722,24.1025466,2733.054075,54.8996992,urban,45466.0201,25.87799816,0
84.525233,99.04781641,22-10-2022 14:42,26.98460662,58.67511657,144.7882961,564.2205486,0.878997883,17.89654701,215.2439924,92.1874235,353.9700082,17.63845762,forest,48058.60122,84.45338487,0
-40.32014724,-73.34153795,09-12-2022 19:26,3.702232587,35.84657285,17.38035893,717.8620555,-0.669466122,0.312728135,152.4245331,39.48815182,1173.952699,1.267184044,urban,35342.86719,72.9007168,0
22.19366283,-60.87671105,17-10-2022 23:00,36.08647606,23.59849197,38.41024841,224.2601537,-0.872883299,6.219646434,117.0659959,72.96061783,2550.229885,79.84914683,forest,19146.34374,97.17120954,0
37.91932014,-140.0793045,10-02-2022 01:04,11.43990827,7.697990983,43.46271794,296.7327724,-0.121326996,4.034384047,322.4748944,47.53702232,2253.102288,62.59644778,wetlands,12464.61146,41.0382923,0
77.34557742,110.9233366,06-08-2022 21:17,77.21322494,164.7690121,150.0780565,941.0275425,0.266807513,17.4292118,289.3219477,18.65700589,3570.235994,48.54080177,grassland,6104.397735,35.62978381,1
-35.13937353,-120.7238929,26-02-2022 23:26,12.34380314,69.63042728,106.8405885,288.852158,0.068178839,9.696599427,249.2769718,26.94123338,976.502089,15.1461938,forest,20191.80855,6.489224711,0
89.59328731,-83.95883486,22-09-2022 19:50,33.60677737,76.16196153,35.6456316,636.9298092,0.953229912,8.220740266,11.89826384,34.5071248,2537.405379,61.26349064,wetlands,24472.63801,98.56504541,0
-23.79903611,47.63009901,03-01-2022 11:30,35.55747662,80.95010461,52.29989809,257.7059307,0.267059422,10.71549368,32.50431722,83.53024956,1283.12026,16.78666594,wetlands,42917.94024,32.59589052,0
79.29418761,-36.87407241,09-08-2022 16:20,27.76004058,52.96505784,36.27784364,255.8616607,0.035502701,16.75420212,243.2484421,73.52161192,836.286483,48.73031764,grassland,12897.08139,65.9984046,0
